Player 1,Player 2,Player_1_Win,,Player 1,Player 2,Player_1_Win
Kevin Anderson,Ivan Dodig,1,,Ivan Dodig,Kevin Anderson,0
Fernando Verdasco,Victor Estrella,1,,Fernando Verdasco,Victor Estrella,1
Vasek Pospisil,Damir Dzumhur,1,,Damir Dzumhur,Vasek Pospisil,0
Steve Johnson,John Millman,1,,Steve Johnson,John Millman,1
Dudi Sela,Joao Sousa,1,,Joao Sousa,Dudi Sela,0
Benjamin Becker,Guido Pella,1,,Benjamin Becker,Guido Pella,1
Adrian Mannarino,Paolo Lorenzi,1,,Paolo Lorenzi,Adrian Mannarino,0
Andreas Seppi,Malek Jaziri,1,,Andreas Seppi,Malek Jaziri,1
Gilles Muller,Jiri Vesely,1,,Jiri Vesely,Gilles Muller,0
Mikhail Youzhny,Pablo Carreno Busta,1,,Mikhail Youzhny,Pablo Carreno Busta,1
Frank Dancevic,Mikhail Kukushkin,1,,Mikhail Kukushkin,Frank Dancevic,0
Alexandr Dolgopolov,Kyle Edmund,1,,Alexandr Dolgopolov,Kyle Edmund,1
Sam Querrey,Ernesto Escobedo,1,,Ernesto Escobedo,Sam Querrey,0
Marcos Baghdatis,Evgeny Donskoy,1,,Marcos Baghdatis,Evgeny Donskoy,1
Daniel Evans,Ricardas Berankis,1,,Ricardas Berankis,Daniel Evans,0
Pablo Cuevas,Stephane Robert,1,,Pablo Cuevas,Stephane Robert,1
Ivan Dodig,Julien Benneteau,1,,Julien Benneteau,Ivan Dodig,0
Victor Estrella,Rajeev Ram,1,,Victor Estrella,Rajeev Ram,1
Damir Dzumhur,Denis Istomin,1,,Denis Istomin,Damir Dzumhur,0
John Millman,Thomaz Bellucci,1,,John Millman,Thomaz Bellucci,1
Dudi Sela,Jan Hernych,1,,Jan Hernych,Dudi Sela,0
Benjamin Becker,Jordan Thompson,1,,Benjamin Becker,Jordan Thompson,1
Adrian Mannarino,Taylor Harry Fritz,1,,Taylor Harry Fritz,Adrian Mannarino,0
Malek Jaziri,James Ward,1,,Malek Jaziri,James Ward,1
Jiri Vesely,Horacio Zeballos,1,,Horacio Zeballos,Jiri Vesely,0
Mikhail Youzhny,Teymuraz Gabashvili,1,,Mikhail Youzhny,Teymuraz Gabashvili,1
Frank Dancevic,Alexander Ward,1,,Alexander Ward,Frank Dancevic,0
Kyle Edmund,Lukas Rosol,1,,Kyle Edmund,Lukas Rosol,1
Ernesto Escobedo,Diego Sebastian Schwartzman,1,,Diego Sebastian Schwartzman,Ernesto Escobedo,0
Evgeny Donskoy,Denis Kudla,1,,Evgeny Donskoy,Denis Kudla,1
Daniel Evans,Liam Broady,1,,Liam Broady,Daniel Evans,0
Stephane Robert,Brydan Klein,1,,Stephane Robert,Brydan Klein,1
Novak Djokovic,James Ward,1,,James Ward,Novak Djokovic,0
Adrian Mannarino,Kyle Edmund,1,,Adrian Mannarino,Kyle Edmund,1
Thomaz Bellucci,Ruben Bemelmans,1,,Ruben Bemelmans,Thomaz Bellucci,0
Sam Querrey,Lukas Rosol,1,,Sam Querrey,Lukas Rosol,1
Pierre Hugues Herbert,Philipp Kohlschreiber,1,,Philipp Kohlschreiber,Pierre Hugues Herbert,0
Damir Dzumhur,Denis Kudla,1,,Damir Dzumhur,Denis Kudla,1
Nicolas Mahut,Brydan Klein,1,,Brydan Klein,Nicolas Mahut,0
David Ferrer,Dudi Sela,1,,David Ferrer,Dudi Sela,1
David Goffin,Alexander Ward,1,,Alexander Ward,David Goffin,0
Edouard Roger Vasselin,Teymuraz Gabashvili,1,,Edouard Roger Vasselin,Teymuraz Gabashvili,1
Nicolas Almagro,Rogerio Dutra Silva,1,,Rogerio Dutra Silva,Nicolas Almagro,0
Denis Istomin,Kevin Anderson,1,,Denis Istomin,Kevin Anderson,1
Jack Sock,Ernests Gulbis,1,,Ernests Gulbis,Jack Sock,0
Robin Haase,Diego Sebastian Schwartzman,1,,Robin Haase,Diego Sebastian Schwartzman,1
Andreas Seppi,Guillermo Garcia Lopez,1,,Guillermo Garcia Lopez,Andreas Seppi,0
Milos Raonic,Pablo Carreno Busta,1,,Milos Raonic,Pablo Carreno Busta,1
Roger Federer,Guido Pella,1,,Guido Pella,Roger Federer,0
Marcus Willis,Ricardas Berankis,1,,Marcus Willis,Ricardas Berankis,1
Daniel Evans,Jan Lennard Struff,1,,Jan Lennard Struff,Daniel Evans,0
Alexandr Dolgopolov,Evgeny Donskoy,1,,Alexandr Dolgopolov,Evgeny Donskoy,1
Jeremy Chardy,Gael Monfils,1,,Gael Monfils,Jeremy Chardy,0
Steve Johnson,Malek Jaziri,1,,Steve Johnson,Malek Jaziri,1
Grigor Dimitrov,Bjorn Fratangelo,1,,Bjorn Fratangelo,Grigor Dimitrov,0
Gilles Simon,Janko Tipsarevic,1,,Gilles Simon,Janko Tipsarevic,1
Marin Cilic,Brian Baker,1,,Brian Baker,Marin Cilic,0
Sergiy Stakhovsky,Yoshihito Nishioka,1,,Sergiy Stakhovsky,Yoshihito Nishioka,1
Lukas Lacko,Paolo Lorenzi,1,,Paolo Lorenzi,Lukas Lacko,0
Ivo Karlovic,Borna Coric,1,,Ivo Karlovic,Borna Coric,1
Andrey Kuznetsov,Pablo Cuevas,1,,Pablo Cuevas,Andrey Kuznetsov,0
Gilles Muller,Santiago Giraldo,1,,Gilles Muller,Santiago Giraldo,1
Julien Benneteau,Illya Marchenko,1,,Illya Marchenko,Julien Benneteau,0
Kei Nishikori,Samuel Groth,1,,Kei Nishikori,Samuel Groth,1
Dominic Thiem,Florian Mayer,1,,Florian Mayer,Dominic Thiem,0
Jiri Vesely,Igor Sijsling,1,,Jiri Vesely,Igor Sijsling,1
Dennis Novikov,Luke Saville,1,,Luke Saville,Dennis Novikov,0
Joao Sousa,Dmitry Tursunov,1,,Joao Sousa,Dmitry Tursunov,1
Alexander Zverev,Paul Henri Mathieu,1,,Paul Henri Mathieu,Alexander Zverev,0
Mikhail Youzhny,Horacio Zeballos,1,,Mikhail Youzhny,Horacio Zeballos,1
Benjamin Becker,Facundo Bagnis,1,,Facundo Bagnis,Benjamin Becker,0
Tomas Berdych,Ivan Dodig,1,,Tomas Berdych,Ivan Dodig,1
Roberto Bautista Agut,Jordan Thompson,1,,Jordan Thompson,Roberto Bautista Agut,0
Mikhail Kukushkin,Martin Klizan,1,,Mikhail Kukushkin,Martin Klizan,1
Radu Albot,Gastao Elias,1,,Gastao Elias,Radu Albot,0
Bernard Tomic,Fernando Verdasco,1,,Bernard Tomic,Fernando Verdasco,1
Lucas Pouille,Marius Copil,1,,Marius Copil,Lucas Pouille,0
Donald Young,Leonardo Mayer,1,,Donald Young,Leonardo Mayer,1
Juan Martin Del Potro,Stephane Robert,1,,Stephane Robert,Juan Martin Del Potro,0
Stanislas Wawrinka,Taylor Harry Fritz,1,,Stanislas Wawrinka,Taylor Harry Fritz,1
Richard Gasquet,Aljaz Bedene,1,,Aljaz Bedene,Richard Gasquet,0
Marcel Granollers,Victor Estrella,1,,Marcel Granollers,Victor Estrella,1
Albert Ramos,Vasek Pospisil,1,,Vasek Pospisil,Albert Ramos,0
Viktor Troicki,Tristan Lamasine,1,,Viktor Troicki,Tristan Lamasine,1
John Isner,Marcos Baghdatis,1,,Marcos Baghdatis,John Isner,0
Matthew Barton,Albano Olivetti,1,,Matthew Barton,Albano Olivetti,1
Juan Monaco,Taro Daniel,1,,Taro Daniel,Juan Monaco,0
Jo Wilfried Tsonga,Inigo Cervantes Huegun,1,,Jo Wilfried Tsonga,Inigo Cervantes Huegun,1
Nick Kyrgios,Radek Stepanek,1,,Radek Stepanek,Nick Kyrgios,0
Dustin Brown,Dusan Lajovic,1,,Dustin Brown,Dusan Lajovic,1
Fabio Fognini,Federico Delbonis,1,,Federico Delbonis,Fabio Fognini,0
Feliciano Lopez,Rajeev Ram,1,,Feliciano Lopez,Rajeev Ram,1
Benoit Paire,Franco Skugor,1,,Franco Skugor,Benoit Paire,0
John Millman,Albert Montanes,1,,John Millman,Albert Montanes,1
Yen Hsun Lu,Alexander Kudryavtsev,1,,Alexander Kudryavtsev,Yen Hsun Lu,0
Andy Murray,Liam Broady,1,,Andy Murray,Liam Broady,1
Novak Djokovic,Adrian Mannarino,1,,Adrian Mannarino,Novak Djokovic,0
Sam Querrey,Thomaz Bellucci,1,,Sam Querrey,Thomaz Bellucci,1
Pierre Hugues Herbert,Damir Dzumhur,1,,Damir Dzumhur,Pierre Hugues Herbert,0
Nicolas Mahut,David Ferrer,1,,Nicolas Mahut,David Ferrer,1
David Goffin,Edouard Roger Vasselin,1,,Edouard Roger Vasselin,David Goffin,0
Denis Istomin,Nicolas Almagro,1,,Denis Istomin,Nicolas Almagro,1
Jack Sock,Robin Haase,1,,Robin Haase,Jack Sock,0
Milos Raonic,Andreas Seppi,1,,Milos Raonic,Andreas Seppi,1
Roger Federer,Marcus Willis,1,,Marcus Willis,Roger Federer,0
Daniel Evans,Alexandr Dolgopolov,1,,Daniel Evans,Alexandr Dolgopolov,1
Steve Johnson,Jeremy Chardy,1,,Jeremy Chardy,Steve Johnson,0
Grigor Dimitrov,Gilles Simon,1,,Grigor Dimitrov,Gilles Simon,1
Marin Cilic,Sergiy Stakhovsky,1,,Sergiy Stakhovsky,Marin Cilic,0
Lukas Lacko,Ivo Karlovic,1,,Lukas Lacko,Ivo Karlovic,1
Andrey Kuznetsov,Gilles Muller,1,,Gilles Muller,Andrey Kuznetsov,0
Kei Nishikori,Julien Benneteau,1,,Kei Nishikori,Julien Benneteau,1
Jiri Vesely,Dominic Thiem,1,,Dominic Thiem,Jiri Vesely,0
Joao Sousa,Dennis Novikov,1,,Joao Sousa,Dennis Novikov,1
Alexander Zverev,Mikhail Youzhny,1,,Mikhail Youzhny,Alexander Zverev,0
Tomas Berdych,Benjamin Becker,1,,Tomas Berdych,Benjamin Becker,1
Roberto Bautista Agut,Mikhail Kukushkin,1,,Mikhail Kukushkin,Roberto Bautista Agut,0
Bernard Tomic,Radu Albot,1,,Bernard Tomic,Radu Albot,1
Lucas Pouille,Donald Young,1,,Donald Young,Lucas Pouille,0
Juan Martin Del Potro,Stanislas Wawrinka,1,,Juan Martin Del Potro,Stanislas Wawrinka,1
Richard Gasquet,Marcel Granollers,1,,Marcel Granollers,Richard Gasquet,0
Albert Ramos,Viktor Troicki,1,,Albert Ramos,Viktor Troicki,1
John Isner,Matthew Barton,1,,Matthew Barton,John Isner,0
Jo Wilfried Tsonga,Juan Monaco,1,,Jo Wilfried Tsonga,Juan Monaco,1
Nick Kyrgios,Dustin Brown,1,,Dustin Brown,Nick Kyrgios,0
Feliciano Lopez,Fabio Fognini,1,,Feliciano Lopez,Fabio Fognini,1
John Millman,Benoit Paire,1,,Benoit Paire,John Millman,0
Andy Murray,Yen Hsun Lu,1,,Andy Murray,Yen Hsun Lu,1
Sam Querrey,Novak Djokovic,1,,Novak Djokovic,Sam Querrey,0
Nicolas Mahut,Pierre Hugues Herbert,1,,Nicolas Mahut,Pierre Hugues Herbert,1
David Goffin,Denis Istomin,1,,Denis Istomin,David Goffin,0
Milos Raonic,Jack Sock,1,,Milos Raonic,Jack Sock,1
Roger Federer,Daniel Evans,1,,Daniel Evans,Roger Federer,0
Steve Johnson,Grigor Dimitrov,1,,Steve Johnson,Grigor Dimitrov,1
Marin Cilic,Lukas Lacko,1,,Lukas Lacko,Marin Cilic,0
Kei Nishikori,Andrey Kuznetsov,1,,Kei Nishikori,Andrey Kuznetsov,1
Jiri Vesely,Joao Sousa,1,,Joao Sousa,Jiri Vesely,0
Tomas Berdych,Alexander Zverev,1,,Tomas Berdych,Alexander Zverev,1
Bernard Tomic,Roberto Bautista Agut,1,,Roberto Bautista Agut,Bernard Tomic,0
Lucas Pouille,Juan Martin Del Potro,1,,Lucas Pouille,Juan Martin Del Potro,1
Richard Gasquet,Albert Ramos,1,,Albert Ramos,Richard Gasquet,0
Jo Wilfried Tsonga,John Isner,1,,Jo Wilfried Tsonga,John Isner,1
Nick Kyrgios,Feliciano Lopez,1,,Feliciano Lopez,Nick Kyrgios,0
Andy Murray,John Millman,1,,Andy Murray,John Millman,1
Sam Querrey,Nicolas Mahut,1,,Nicolas Mahut,Sam Querrey,0
Milos Raonic,David Goffin,1,,Milos Raonic,David Goffin,1
Roger Federer,Steve Johnson,1,,Steve Johnson,Roger Federer,0
Marin Cilic,Kei Nishikori,1,,Marin Cilic,Kei Nishikori,1
Tomas Berdych,Jiri Vesely,1,,Jiri Vesely,Tomas Berdych,0
Lucas Pouille,Bernard Tomic,1,,Lucas Pouille,Bernard Tomic,1
Jo Wilfried Tsonga,Richard Gasquet,1,,Richard Gasquet,Jo Wilfried Tsonga,0
Andy Murray,Nick Kyrgios,1,,Andy Murray,Nick Kyrgios,1
Milos Raonic,Sam Querrey,1,,Sam Querrey,Milos Raonic,0
Roger Federer,Marin Cilic,1,,Roger Federer,Marin Cilic,1
Tomas Berdych,Lucas Pouille,1,,Lucas Pouille,Tomas Berdych,0
Andy Murray,Jo Wilfried Tsonga,1,,Andy Murray,Jo Wilfried Tsonga,1
Milos Raonic,Roger Federer,1,,Roger Federer,Milos Raonic,0
Andy Murray,Tomas Berdych,1,,Andy Murray,Tomas Berdych,1
Andy Murray,Milos Raonic,1,,Milos Raonic,Andy Murray,0
Albert Ramos,Fernando Verdasco,1,,Albert Ramos,Fernando Verdasco,1
Albert Ramos,David Ferrer,1,,David Ferrer,Albert Ramos,0
Fernando Verdasco,Gastao Elias,1,,Fernando Verdasco,Gastao Elias,1
David Ferrer,Dustin Brown,1,,Dustin Brown,David Ferrer,0
Albert Ramos,Andrea Arnaboldi,1,,Albert Ramos,Andrea Arnaboldi,1
Fernando Verdasco,Facundo Bagnis,1,,Facundo Bagnis,Fernando Verdasco,0
Gastao Elias,Joao Sousa,1,,Gastao Elias,Joao Sousa,1
David Ferrer,Calvin Hemery,1,,Calvin Hemery,David Ferrer,0
Dustin Brown,Aljaz Bedene,1,,Dustin Brown,Aljaz Bedene,1
Albert Ramos,Roberto Carballes Baena,1,,Roberto Carballes Baena,Albert Ramos,0
Andrea Arnaboldi,Evgeny Donskoy,1,,Andrea Arnaboldi,Evgeny Donskoy,1
Fernando Verdasco,Albert Montanes,1,,Albert Montanes,Fernando Verdasco,0
Facundo Bagnis,Marcel Granollers,1,,Facundo Bagnis,Marcel Granollers,1
Gastao Elias,Taro Daniel,1,,Taro Daniel,Gastao Elias,0
Joao Sousa,Carl Soderlund,1,,Joao Sousa,Carl Soderlund,1
Calvin Hemery,Tristan Lamasine,1,,Tristan Lamasine,Calvin Hemery,0
Dustin Brown,Daniel Munoz De La Nava,1,,Dustin Brown,Daniel Munoz De La Nava,1
Aljaz Bedene,Isak Arvidsson,1,,Isak Arvidsson,Aljaz Bedene,0
Roberto Carballes Baena,Michael Berrer,1,,Roberto Carballes Baena,Michael Berrer,1
Andrea Arnaboldi,Marco Trungelliti,1,,Marco Trungelliti,Andrea Arnaboldi,0
Evgeny Donskoy,Karen Khachanov,1,,Evgeny Donskoy,Karen Khachanov,1
Fernando Verdasco,Henri Laaksonen,1,,Henri Laaksonen,Fernando Verdasco,0
Albert Montanes,Elias Ymer,1,,Albert Montanes,Elias Ymer,1
Facundo Bagnis,Jurgen Zopp,1,,Jurgen Zopp,Facundo Bagnis,0
Taro Daniel,Horacio Zeballos,1,,Taro Daniel,Horacio Zeballos,1
Gastao Elias,Christian Lindell,1,,Christian Lindell,Gastao Elias,0
Carl Soderlund,Fred Simonsson,1,,Carl Soderlund,Fred Simonsson,1
Martin Klizan,Pablo Cuevas,1,,Pablo Cuevas,Martin Klizan,0
Pablo Cuevas,Renzo Olivo,1,,Pablo Cuevas,Renzo Olivo,1
Martin Klizan,Stephane Robert,1,,Stephane Robert,Martin Klizan,0
Renzo Olivo,Philipp Kohlschreiber,1,,Renzo Olivo,Philipp Kohlschreiber,1
Pablo Cuevas,Paul Henri Mathieu,1,,Paul Henri Mathieu,Pablo Cuevas,0
Stephane Robert,Guillermo Garcia Lopez,1,,Stephane Robert,Guillermo Garcia Lopez,1
Martin Klizan,Daniel Gimeno Traver,1,,Daniel Gimeno Traver,Martin Klizan,0
Philipp Kohlschreiber,Nicolas Kicker,1,,Philipp Kohlschreiber,Nicolas Kicker,1
Renzo Olivo,Maximo Gonzalez,1,,Maximo Gonzalez,Renzo Olivo,0
Pablo Cuevas,Thiago Monteiro,1,,Pablo Cuevas,Thiago Monteiro,1
Paul Henri Mathieu,Nicolas Almagro,1,,Nicolas Almagro,Paul Henri Mathieu,0
Guillermo Garcia Lopez,Grega Zemlja,1,,Guillermo Garcia Lopez,Grega Zemlja,1
Stephane Robert,Inigo Cervantes Huegun,1,,Inigo Cervantes Huegun,Stephane Robert,0
Martin Klizan,Louis Wessels,1,,Martin Klizan,Louis Wessels,1
Daniel Gimeno Traver,Daniil Medvedev,1,,Daniil Medvedev,Daniel Gimeno Traver,0
Philipp Kohlschreiber,Carlos Berlocq,1,,Philipp Kohlschreiber,Carlos Berlocq,1
Nicolas Kicker,Thomas Fabbiano,1,,Thomas Fabbiano,Nicolas Kicker,0
Renzo Olivo,Mikhail Youzhny,1,,Renzo Olivo,Mikhail Youzhny,1
Maximo Gonzalez,Jeremy Chardy,1,,Jeremy Chardy,Maximo Gonzalez,0
Pablo Cuevas,Florian Mayer,1,,Pablo Cuevas,Florian Mayer,1
Thiago Monteiro,Mischa Zverev,1,,Mischa Zverev,Thiago Monteiro,0
Paul Henri Mathieu,Gerald Melzer,1,,Paul Henri Mathieu,Gerald Melzer,1
Nicolas Almagro,Jan Satral,1,,Jan Satral,Nicolas Almagro,0
Guillermo Garcia Lopez,Kenny De Schepper,1,,Guillermo Garcia Lopez,Kenny De Schepper,1
Grega Zemlja,Marvin Moeller,1,,Marvin Moeller,Grega Zemlja,0
Stephane Robert,Leonardo Mayer,1,,Stephane Robert,Leonardo Mayer,1
Inigo Cervantes Huegun,Alexander Zverev,1,,Alexander Zverev,Inigo Cervantes Huegun,0
Martin Klizan,Igor Sijsling,1,,Martin Klizan,Igor Sijsling,1
Louis Wessels,Steven Diez,1,,Steven Diez,Louis Wessels,0
Daniil Medvedev,Jan Lennard Struff,1,,Daniil Medvedev,Jan Lennard Struff,1
Daniel Gimeno Traver,Benoit Paire,1,,Benoit Paire,Daniel Gimeno Traver,0
Ivo Karlovic,Gilles Muller,1,,Ivo Karlovic,Gilles Muller,1
Gilles Muller,Donald Young,1,,Donald Young,Gilles Muller,0
Ivo Karlovic,Marcos Baghdatis,1,,Ivo Karlovic,Marcos Baghdatis,1
Donald Young,Steve Johnson,1,,Steve Johnson,Donald Young,0
Gilles Muller,Adrian Mannarino,1,,Gilles Muller,Adrian Mannarino,1
Marcos Baghdatis,Dudi Sela,1,,Dudi Sela,Marcos Baghdatis,0
Ivo Karlovic,Marco Chiudinelli,1,,Ivo Karlovic,Marco Chiudinelli,1
Steve Johnson,Yuichi Sugita,1,,Yuichi Sugita,Steve Johnson,0
Donald Young,Stefan Kozlov,1,,Donald Young,Stefan Kozlov,1
Gilles Muller,Victor Estrella,1,,Victor Estrella,Gilles Muller,0
Adrian Mannarino,Samuel Groth,1,,Adrian Mannarino,Samuel Groth,1
Dudi Sela,Rajeev Ram,1,,Rajeev Ram,Dudi Sela,0
Marcos Baghdatis,Brian Baker,1,,Marcos Baghdatis,Brian Baker,1
Marco Chiudinelli,John Patrick Smith,1,,John Patrick Smith,Marco Chiudinelli,0
Ivo Karlovic,Frank Dancevic,1,,Ivo Karlovic,Frank Dancevic,1
Yuichi Sugita,Amir Weintraub,1,,Amir Weintraub,Yuichi Sugita,0
Stefan Kozlov,Benjamin Becker,1,,Stefan Kozlov,Benjamin Becker,1
Donald Young,Jared Donaldson,1,,Jared Donaldson,Donald Young,0
Victor Estrella,Dennis Novikov,1,,Victor Estrella,Dennis Novikov,1
Samuel Groth,Michal Przysiezny,1,,Michal Przysiezny,Samuel Groth,0
Adrian Mannarino,James Duckworth,1,,Adrian Mannarino,James Duckworth,1
Dudi Sela,Lukas Lacko,1,,Lukas Lacko,Dudi Sela,0
Rajeev Ram,Mackenzie Mcdonald,1,,Rajeev Ram,Mackenzie Mcdonald,1
Brian Baker,Austin Krajicek,1,,Austin Krajicek,Brian Baker,0
Marco Chiudinelli,Alex Kuznetsov,1,,Marco Chiudinelli,Alex Kuznetsov,1
John Patrick Smith,Jordan Thompson,1,,Jordan Thompson,John Patrick Smith,0
Frank Dancevic,Ryan Harrison,1,,Frank Dancevic,Ryan Harrison,1
Feliciano Lopez,Robin Haase,1,,Robin Haase,Feliciano Lopez,0
Feliciano Lopez,Dustin Brown,1,,Feliciano Lopez,Dustin Brown,1
Robin Haase,Paul Henri Mathieu,1,,Paul Henri Mathieu,Robin Haase,0
Feliciano Lopez,Elias Ymer,1,,Feliciano Lopez,Elias Ymer,1
Dustin Brown,Mikhail Youzhny,1,,Mikhail Youzhny,Dustin Brown,0
Paul Henri Mathieu,Albert Ramos,1,,Paul Henri Mathieu,Albert Ramos,1
Robin Haase,Thiago Monteiro,1,,Thiago Monteiro,Robin Haase,0
Feliciano Lopez,Jan Mertl,1,,Feliciano Lopez,Jan Mertl,1
Elias Ymer,Konstantin Kravchuk,1,,Konstantin Kravchuk,Elias Ymer,0
Dustin Brown,Thomaz Bellucci,1,,Dustin Brown,Thomaz Bellucci,1
Mikhail Youzhny,Mirza Basic,1,,Mirza Basic,Mikhail Youzhny,0
Paul Henri Mathieu,Henri Laaksonen,1,,Paul Henri Mathieu,Henri Laaksonen,1
Albert Ramos,Tristan Lamasine,1,,Tristan Lamasine,Albert Ramos,0
Robin Haase,Horacio Zeballos,1,,Robin Haase,Horacio Zeballos,1
Thiago Monteiro,Gilles Simon,1,,Gilles Simon,Thiago Monteiro,0
Jan Mertl,Yann Marti,1,,Jan Mertl,Yann Marti,1
Elias Ymer,Daniel Brands,1,,Daniel Brands,Elias Ymer,0
Konstantin Kravchuk,Guido Pella,1,,Konstantin Kravchuk,Guido Pella,1
Dustin Brown,Juan Monaco,1,,Juan Monaco,Dustin Brown,0
Mirza Basic,Denis Istomin,1,,Mirza Basic,Denis Istomin,1
Mikhail Youzhny,Johan Nikles,1,,Johan Nikles,Mikhail Youzhny,0
Paul Henri Mathieu,Marco Chiudinelli,1,,Paul Henri Mathieu,Marco Chiudinelli,1
Henri Laaksonen,Jozef Kovalik,1,,Jozef Kovalik,Henri Laaksonen,0
Tristan Lamasine,Radu Albot,1,,Tristan Lamasine,Radu Albot,1
Horacio Zeballos,Agustin Velotti,1,,Agustin Velotti,Horacio Zeballos,0
Robin Haase,Thiemo De Bakker,1,,Robin Haase,Thiemo De Bakker,1
Thiago Monteiro,Antoine Bellier,1,,Antoine Bellier,Thiago Monteiro,0
Paolo Lorenzi,Nikoloz Basilashvili,1,,Paolo Lorenzi,Nikoloz Basilashvili,1
Paolo Lorenzi,Gerald Melzer,1,,Gerald Melzer,Paolo Lorenzi,0
Nikoloz Basilashvili,Dusan Lajovic,1,,Nikoloz Basilashvili,Dusan Lajovic,1
Gerald Melzer,Jurgen Melzer,1,,Jurgen Melzer,Gerald Melzer,0
Paolo Lorenzi,Jan Lennard Struff,1,,Paolo Lorenzi,Jan Lennard Struff,1
Nikoloz Basilashvili,Adam Pavlasek,1,,Adam Pavlasek,Nikoloz Basilashvili,0
Dusan Lajovic,Karen Khachanov,1,,Dusan Lajovic,Karen Khachanov,1
Jurgen Melzer,Dominic Thiem,1,,Dominic Thiem,Jurgen Melzer,0
Gerald Melzer,Daniel Gimeno Traver,1,,Gerald Melzer,Daniel Gimeno Traver,1
Paolo Lorenzi,Roberto Carballes Baena,1,,Roberto Carballes Baena,Paolo Lorenzi,0
Jan Lennard Struff,Daniel Munoz De La Nava,1,,Jan Lennard Struff,Daniel Munoz De La Nava,1
Nikoloz Basilashvili,Igor Sijsling,1,,Igor Sijsling,Nikoloz Basilashvili,0
Adam Pavlasek,Marcel Granollers,1,,Adam Pavlasek,Marcel Granollers,1
Dusan Lajovic,Mischa Zverev,1,,Mischa Zverev,Dusan Lajovic,0
Karen Khachanov,Philipp Kohlschreiber,1,,Karen Khachanov,Philipp Kohlschreiber,1
Jurgen Melzer,Taro Daniel,1,,Taro Daniel,Jurgen Melzer,0
Gerald Melzer,Albert Montanes,1,,Gerald Melzer,Albert Montanes,1
Daniel Gimeno Traver,Inigo Cervantes Huegun,1,,Inigo Cervantes Huegun,Daniel Gimeno Traver,0
Roberto Carballes Baena,Dennis Novak,1,,Roberto Carballes Baena,Dennis Novak,1
Daniel Munoz De La Nava,Michael Berrer,1,,Michael Berrer,Daniel Munoz De La Nava,0
Jan Lennard Struff,Akira Santillan,1,,Jan Lennard Struff,Akira Santillan,1
Nikoloz Basilashvili,Lukas Rosol,1,,Lukas Rosol,Nikoloz Basilashvili,0
Igor Sijsling,Kenny De Schepper,1,,Igor Sijsling,Kenny De Schepper,1
Adam Pavlasek,Maximo Gonzalez,1,,Maximo Gonzalez,Adam Pavlasek,0
Dusan Lajovic,Rogerio Dutra Silva,1,,Dusan Lajovic,Rogerio Dutra Silva,1
Mischa Zverev,Facundo Bagnis,1,,Facundo Bagnis,Mischa Zverev,0
Karen Khachanov,Filippo Volandri,1,,Karen Khachanov,Filippo Volandri,1
Fabio Fognini,Andrej Martin,1,,Andrej Martin,Fabio Fognini,0
Fabio Fognini,Gastao Elias,1,,Fabio Fognini,Gastao Elias,1
Andrej Martin,Carlos Berlocq,1,,Carlos Berlocq,Andrej Martin,0
Gastao Elias,Pablo Carreno Busta,1,,Gastao Elias,Pablo Carreno Busta,1
Fabio Fognini,Damir Dzumhur,1,,Damir Dzumhur,Fabio Fognini,0
Carlos Berlocq,Jeremy Chardy,1,,Carlos Berlocq,Jeremy Chardy,1
Andrej Martin,Joao Sousa,1,,Joao Sousa,Andrej Martin,0
Gastao Elias,Pablo Cuevas,1,,Gastao Elias,Pablo Cuevas,1
Pablo Carreno Busta,Teymuraz Gabashvili,1,,Teymuraz Gabashvili,Pablo Carreno Busta,0
Fabio Fognini,Renzo Olivo,1,,Fabio Fognini,Renzo Olivo,1
Damir Dzumhur,Thomas Fabbiano,1,,Thomas Fabbiano,Damir Dzumhur,0
Carlos Berlocq,Jiri Vesely,1,,Carlos Berlocq,Jiri Vesely,1
Jeremy Chardy,Nikola Cacic,1,,Nikola Cacic,Jeremy Chardy,0
Andrej Martin,Martin Klizan,1,,Andrej Martin,Martin Klizan,1
Joao Sousa,Leonardo Mayer,1,,Leonardo Mayer,Joao Sousa,0
Gastao Elias,Guillermo Garcia Lopez,1,,Gastao Elias,Guillermo Garcia Lopez,1
Teymuraz Gabashvili,Nino Serdarusic,1,,Nino Serdarusic,Teymuraz Gabashvili,0
Pablo Carreno Busta,Andreas Seppi,1,,Pablo Carreno Busta,Andreas Seppi,1
Renzo Olivo,Andre Ghem,1,,Andre Ghem,Renzo Olivo,0
Thomas Fabbiano,Franco Skugor,1,,Thomas Fabbiano,Franco Skugor,1
Damir Dzumhur,Nicolas Almagro,1,,Nicolas Almagro,Damir Dzumhur,0
Jiri Vesely,Michael Linzer,1,,Jiri Vesely,Michael Linzer,1
Carlos Berlocq,Filip Krajinovic,1,,Filip Krajinovic,Carlos Berlocq,0
Nikola Cacic,Aljaz Bedene,1,,Nikola Cacic,Aljaz Bedene,1
Martin Klizan,Enrique Lopez Perez,1,,Enrique Lopez Perez,Martin Klizan,0
Andrej Martin,Sergiy Stakhovsky,1,,Andrej Martin,Sergiy Stakhovsky,1
Leonardo Mayer,Nikola Mektic,1,,Nikola Mektic,Leonardo Mayer,0
Gael Monfils,Ivo Karlovic,1,,Gael Monfils,Ivo Karlovic,1
Ivo Karlovic,Steve Johnson,1,,Steve Johnson,Ivo Karlovic,0
